dog,condition,choice,test_trial_number,first_trial_fam..1.yes..followed.communicator.,first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,communicator,hider,correct
165,True_Belief_Control,baited,11,1,no_displacement,blue,2,m,rhodesian_ridgeback,6,LL,VS,0
166,True_Belief_Control,empty,7,1,no_displacement,blue,3,f,weimaraner,7,LL,VS,1
167,True_Belief_Control,baited,7,1,displacement,blue,0.58,f,labrador_retriever,8,LL,VS,0
168,True_Belief_Control,baited,7,1,no_displacement,brown,9,f,whippet,10,LL,AE,0
169,True_Belief_Control,empty,9,1,no_displacement,brown,6,f,rhodesian_ridgeback,6,LL,AE,1
170,True_Belief_Control,baited,7,1,displacement,blue,1,f,golden_retriever,8,LL,AE,0
171,True_Belief_Control,baited,7,1,no_displacement,brown,10,f,golden_retriever,8,LL,AE,0
172,True_Belief_Control,baited,9,1,displacement,brown,6,m,bernese_mountain_dog,2,LL,VS,0
173,True_Belief_Control,baited,7,1,displacement,brown,3,f,hovawart,2,LL,VS,0
174,True_Belief_Control,baited,7,1,no_displacement,blue,3,m,hovawart,2,LL,VS,0
175,True_Belief_Control,baited,9,1,no_displacement,blue,7,m,border_collie,1,LL,VS,0
176,True_Belief_Control,baited,9,1,displacement,blue,6,m,rhodesian_ridgeback,6,LL,VS,0
177,True_Belief_Control,baited,7,1,no_displacement,blue,3,f,whippet,1,LL,VS,0
178,True_Belief_Control,empty,7,1,displacement,blue,0.5,f,white_swiss_shepherd,1,LL,VS,1
179,True_Belief_Control,baited,9,1,no_displacement,brown,4,f,white_swiss_shepherd,1,LL,VS,0
180,True_Belief_Control,baited,11,0,displacement,blue,10,m,hovawart,2,LL,AE,0
